code_gl,substrate,gl_name,Site_c,Bassin,lat_sp,lon_sp,ele_sp,gl_sa,gl_cov
GL157,sed,Learnard,Alaska,Whittier,60.7904,-148.725,233,3.14,0.43
GL158,sed,Porcupine,Alaska,Seward,59.9992,-149.281,231,0.69,0.35
GL156,sed,Raven,Alaska,Girdwood,61.066,-149.113,957,3.57,0.53
GL159,sed,Byron,Alaska,Whittier,60.7588,-148.852,97,2.31,0.35
GL160,sed,Milk,Alaska,Girdwood,61.0454,-149.095,1123,1.99,0.78
GL161,sed,South_of_Fourth_of_July_Creek,Alaska,Seward,60.0866,-149.233,538,2.51,0.75
GL162,sed,Second_west_of_Powell,Alaska,Matanuska,61.6413,-147.268,1520,4.91,0.54
GL163,sed,Powell,Alaska,Matanuska,61.6704,-147.291,949,55.51,0.47
GL164,sed,Third_west_of_Powell,Alaska,Matanuska,61.6701,-147.309,894,38.66,0.47
GL165,sed,Nelchina,Alaska,Matanuska,61.709,-147.074,758,323.45,0.56
GL166,sed,Sylvester,Alaska,Matanuska,61.6779,-147.067,882,80.68,0.5
GL167,sed,Matanuska,Alaska,Matanuska,61.7752,-147.762,472,322.32,0.53
GL168,sed,Rainbow_Cirque,Alaska,Gulkana,63.3208,-145.611,1496,0.63,0.78
GL169,sed,Castner,Alaska,Gulkana,63.4044,-145.698,816,60.82,0.5
GL170,sed,Gulkana,Alaska,Gulkana,63.2551,-145.425,1300,10.86,0.66
GL24,sed,Zmutt,Alps,Mattertal,46.0016,7.6511,2317,14.15,0.54
GL22,sed,Valsorey,Alps,Val_Entrememont,45.9166,7.2669,2441,1.97,0.43
GL28,sed,Tsidjiore_Nouve,Alps,Val_Herens,46.016,7.4692,2277,2.77,0.6
GL81,sed,Tschierva,Alps,Engadin,46.4035,9.8695,2326,6.11,0.6
GL76,sed,TriftVS,Alps,Saastal,46.1358,7.9866,2868,1.55,0.67
GL97,sed,Tre_la_tete,Alps,Mont_Blanc,45.7888,6.7484,2037,7.54,0.46
GL85,sed,Tiefenbach_F,Alps,Otztal,46.9147,10.9339,2929,0.31,0.84
GL82,sed,Silvretta,Alps,Silvretta,46.8559,10.0569,2474,2.36,0.66
GL31,sed,Schwarzberg,Alps,Saastal,46.0265,7.939,2662,5.84,0.72
GL80,sed,Roseg,Alps,Engadin,46.385,9.8419,2276,3.34,0.75
GL99,sed,Pelerins,Alps,Mont_Blanc,45.8973,6.8842,2244,0.94,0.38
GL84,sed,Niederjoch_F,Alps,Otztal,46.7752,10.8593,2930,0.39,0.4
GL79,sed,Morteratsch,Alps,Engadin,46.4197,9.9338,2176,15.77,0.62
GL29,sed,Mont_Mine,Alps,Val_Herens,46.0396,7.5505,2085,10.48,0.64
GL96,sed,Miage,Alps,Mont_Blanc,45.7883,6.8885,1812,11.13,0.46
GL98,sed,Mer_de_glace,Alps,Mont_Blanc,45.9357,6.9223,1591,36.91,0.54
GL26,sed,Langfluh_N,Alps,Mattertal,46.031,7.8515,2916,0.86,0.72
GL30,sed,Hohlaub_N,Alps,Saastal,46.1446,7.9939,3081,0.33,0.64
GL83,sed,Hintereis_F,Alps,Otztal,46.8169,10.7994,2489,7.79,0.49
GL23,sed,Furgg,Alps,Mattertal,45.979,7.6868,2735,3.01,0.84
GL77,sed,Forno,Alps,Val_Bregaglia,46.3352,9.7018,2254,5.98,0.44
GL25,sed,Findelen,Alps,Mattertal,46.0108,7.8263,2557,15.38,0.75
GL101,sed,Des_Etages,Alps,Ecrins,44.8985,6.2624,2440,0.83,0.3
GL100,sed,Chardon,Alps,Ecrins,44.8843,6.2934,2301,1.22,0.27
GL102,sed,Bonne_Pierre,Alps,Ecrins,44.9358,6.3183,2436,1.95,0.31
GL27,sed,Arolla_Bas,Alps,Val_Herens,45.9901,7.496,2265,4.77,0.78
GL78,sed,Albigna,Alps,Val_Bregaglia,46.3131,9.6464,2176,2.6,0.37
GL47,sed,Kashkatash,Caucasus,Adyl_Su,43.2116,42.6847,2517,3.04,0.42
GL52,sed,Terskol_Tarskol,Caucasus,Mt_Elbrus,43.291,42.5067,2709,7.34,0.61
GL56,sed,Sopruju_Sevenriy,Caucasus,Dombay,43.2617,41.6102,2104,2.94,0.65
GL50,sed,Shkhelda,Caucasus,Adyl_Su,43.1952,42.6484,2364,11.27,0.48
GL58,sed,Ptish,Caucasus,Dombay,43.2356,41.6929,2347,1.35,0.58
GL42,sed,Midjirgi_Mizhirgichiran,Caucasus,Bezengi,43.0936,43.1692,2637,14.92,0.48
GL55,sed,Irik,Caucasus,Mt_Elbrus,43.3029,42.5498,2661,9.33,0.49
GL53,sed,Garabashi,Caucasus,Mt_Elbrus,43.2846,42.4788,3059,4.11,0.69
GL60,sed,Dvuyazichniy,Caucasus,Dombay,43.2983,41.5478,2109,2.06,0.44
GL49,sed,Djantugan,Caucasus,Adyl_Su,43.198,42.7382,2799,0.5,0.64
GL48,sed,Djankuat,Caucasus,Adyl_Su,43.2034,42.7501,2760,2.44,0.67
GL59,sed,c789,Caucasus,Dombay,43.2668,41.6772,1994,0.54,0.3
GL45,sed,c50_4446,Caucasus,Bezengi,43.0752,43.1743,3027,0.31,0.26
GL44,sed,c50_442,Caucasus,Bezengi,43.0924,43.199,3481,0.96,0.42
GL46,sed,c443,Caucasus,Bezengi,43.0832,43.1839,3154,1.57,0.55
GL54,sed,Bolshoy_Azau,Caucasus,Mt_Elbrus,43.2721,42.4468,2561,21.8,0.77
GL43,sed,Bezengi_Ulluchirak,Caucasus,Bezengi,43.1057,43.1318,2190,42.12,0.45
GL51,sed,Bashkara,Caucasus,Adyl_Su,43.2099,42.7242,2576,4.42,0.52
GL57,sed,Amanauz,Caucasus,Dombay,43.2622,41.6141,1966,7.17,0.51
GL141,sed,Ventisquiero,Chile,Aysen,-43.2891,-72.4689,378,4.46,0.64
GL142,sed,Amarillo,Chile,Aysen,-42.8641,-72.4453,498,13.22,0.76
GL143,sed,Mocho_1_midlle,Chile,Mocho,-39.9282,-72.0061,1876,0.1,0.97
GL144,sed,Mocho_2_south,Chile,Mocho,-39.9305,-72.0029,1825,0.06,0.88
GL145,sed,Mocho_3_north,Chile,Mocho,-39.9252,-72.0079,1854,0.16,0.84
GL146,sed,Pichillancahue,Chile,Villarica,-39.4407,-71.8884,1817,0.05,0.99
GL147,sed,Turbio,Chile,Villarica,-39.4315,-71.8797,1748,0.22,1
GL148,sed,Nevado_Chillan_1_east,Chile,Nevado_Chillan,-36.8385,-71.4148,2734,0.22,0.43
GL149,sed,Nevado_Chillan_2_west,Chile,Nevado_Chillan,-36.8451,-71.4253,2273,0.16,0.21
GL150,sed,Universidad,Chile,Colchagua,-34.7116,-70.3437,2524,25.63,0.52
GL151,sed,El_Morado,Chile,Valle_de_Maipo,-33.736,-70.0439,3227,9.29,0.4
GL152,sed,Colina,Chile,Valle_de_Maipo,-33.8605,-69.9229,2987,8.84,0.64
